scene_index,prompt
0,"A serene Scandinavian bedroom centers around a low double bed dressed in crisp white linens, flanked by two sleek wooden nightstands. A plush gray rug anchors the space beneath the bed, while a simple armchair sits by the window, inviting quiet relaxation."
1,"An eclectic bedroom features a vintage wooden bed against the wall, flanked by a mismatched nightstand and a colorful rug in the center. A plush velvet armchair sits by the window, creating a cozy reading nook amidst the diverse decor."
2,"This contemporary bedroom features a sleek wardrobe against the wall and a stylish vanity by the window. A plush rug in the center anchors the space, creating a cozy and modern retreat."
3,"A cozy traditional bedroom features a sturdy wooden bed pushed against the textured wall, flanked by two matching nightstands. A plush area rug anchors the space, while a vintage armchair sits invitingly in the corner by the window."
4,"A luxurious art deco bedroom centers on a plush double bed with a geometric headboard, flanked by sleek nightstands. A polished vanity with a large mirror sits against the far wall, while an elegant armchair rests by the window, bathed in warm light."
5,"A serene coastal bedroom features a white double bed centered against the soft blue wall, flanked by wooden nightstands. A woven rug anchors the space, while a wicker armchair sits by the window, inviting relaxation with ocean views."
6,"This mid-century modern bedroom features a low-profile bed centered against the back wall, flanked by sleek nightstands. A walnut dresser stands in the corner, while a plush rug anchors the space near a window seat."
7,"An eclectic bedroom features a vintage wooden bed centered in the room, flanked by a tall bookshelf against the left wall and a patterned rug beneath it, creating a cozy, curated retreat."
8,"A bohemian bedroom features a cozy bed against the wall, surrounded by lush plants and eclectic textiles. An armchair sits by the window, inviting relaxation, while a wooden nightstand holds a stack of books and a small lamp."
9,"This coastal bedroom features a white double bed centered against the wall, flanked by two wooden nightstands. A woven rug lies in the center of the room, adding texture beneath the feet while light filters through sheer curtains by the window."
10,"This cozy traditional bedroom features a plush double bed centered against the back wall, flanked by two matching nightstands. A classic wooden dresser stands by the window, completing the warm and inviting atmosphere with soft textures and rich wood tones."
11,"An eclectic bedroom featuring a plush velvet bed centered on the rug, flanked by a rustic wooden nightstand and a vibrant, patterned wardrobe against the far wall."
12,"This coastal bedroom features a white wooden double bed centered in the room, paired with a rattan dresser against the far wall. Soft linen drapes frame the large window, enhancing the airy, beach-inspired aesthetic with natural light and breezy textures."
13,"This industrial loft bedroom features a sturdy metal bed frame positioned against the exposed brick wall. A sleek, dark wood desk sits in the corner by the window, complemented by a leather ottoman placed at its foot for casual seating."
14,"Art deco bedroom featuring a double bed with a geometric headboard against the far wall, flanked by two sleek vanity tables with gold accents. A plush velvet armchair sits in the corner, completing the luxurious and symmetrical layout."
15,"This modern minimalist bedroom features a sleek double bed positioned against the wall, flanked by a dark wooden nightstand. A plush area rug anchors the space in the center, while a tall wardrobe stands neatly beside the window, maximizing light and storage."
16,"A cozy traditional bedroom features a sturdy double bed against the wall, flanked by a wooden nightstand. Opposite the sleeping area, a plush armchair sits by the window, inviting relaxation beside a tall bookshelf filled with well-loved novels."
17,"A serene Japandi bedroom features a low wooden bed centered against the back wall, flanked by a minimalist chest of drawers on the left. A soft woven rug anchors the space, while a sleek armchair sits by the window, inviting quiet contemplation in this tranquil retreat."
18,"A serene Japandi bedroom centers around a low wooden double bed with linen bedding, accompanied by a sleek white dresser against the wall and a minimalist armchair in the corner. Natural light floods the space, highlighting clean lines and warm, neutral tones."
