ID,Description,ObjCount,ObjAttr,OORel,OARel,Difficulty,SceneScope
0,"A bedroom with a bed, two nightstands, and a wardrobe in the corner of the room.","eq,1,bed; eq,2,nightstand; eq,1,wardrobe",,,"eq,1,corner,wardrobe,room",easy,single_room
1,A bedroom with a bed and a wardrobe.,"eq,1,bed; eq,1,wardrobe",,,,easy,single_room
2,"A bedroom with a king-size bed in the corner of the room, two large blue armchairs, and a floor lamp near a armchair.","eq,1,bed; eq,2,armchair; eq,1,floor_lamp","eq,1,bed,king_size; eq,2,armchair,large; eq,2,armchair,blue","eq,1,near,0,armchair,floor_lamp","eq,1,corner,bed,room",easy,single_room
3,"A bedroom with a double bed and a mini fridge near the bed, a table across from the door, and a painting on the wall above the bed.","eq,1,bed; eq,1,fridge; eq,1,table; eq,1,painting","eq,1,bed,double; eq,1,fridge,mini","eq,1,near,0,bed,fridge; eq,1,above,0,bed,painting","eq,1,across,table,door; eq,1,on,painting,wall",easy,single_room
4,"A bedroom with two bunk beds in the corners of the room, a desk placed against the wall far from the door, and a light hanging from the ceiling in the center of the room.","eq,2,bed; eq,1,desk; eq,1,light","eq,2,bed,bunk",,"eq,2,corner,bed,room; eq,1,hang,light,ceiling; eq,1,center,light,room; eq,1,against,desk,wall; eq,1,far,desk,door",easy,single_room
5,"A simple bedroom featuring a twin bed against the wall, with a wardrobe positioned in the corner of the room, and a desk next to the window.","eq,1,bed; eq,1,wardrobe; eq,1,desk","eq,1,bed,twin",,"eq,1,against,bed,wall; eq,1,corner,wardrobe,room; eq,1,next,desk,window",easy,single_room
6,"A minimal bedroom with a queen bed against the wall, flanked by two nightstands on each side.","eq,1,bed; eq,2,nightstand","eq,1,bed,queen","eq,1,left,0,bed,nightstand; eq,1,right,0,bed,nightstand","eq,1,against,bed,wall",easy,single_room
7,"A living room with a TV, sofa, and bookshelf. There is no coffee table in the room.","eq,1,TV; eq,1,sofa; eq,1,bookshelf; eq,0,coffee_table",,,,easy,single_room
8,"A living room with a TV, sofa, bookshelf, and coffee table.","eq,1,TV; eq,1,sofa; eq,1,bookshelf; eq,1,coffee_table",,,,easy,single_room
9,"A living room with a sofa in front of a wall-mounted TV, a lamp behind the sofa, and a stool near the TV against the wall.","eq,1,sofa; eq,1,TV; eq,1,lamp; eq,1,stool","eq,1,TV,wall_mounted","eq,1,front,0,sofa,TV; eq,1,face,0,TV,sofa; eq,1,behind,0,sofa,lamp; eq,1,near,0,TV,stool","eq,1,on,TV,wall; eq,1,corner,sofa,room; eq,1,against,stool,wall ",easy,single_room
10,"A living room with two bookcases along the wall far from the door, a wooden chair near the bookcases, and a painting on the wall opposite the bookcases.","eq,2,bookcase; eq,1,chair; eq,1,painting","eq,1,chair,wooden","eq,1,near,0,bookcase,chair; eq,2,across,0,bookcase,painting","eq,2,against,bookcase,wall; eq,2,far,bookcase,door; eq,1,on,painting,wall",easy,single_room
11,"A living room with a two-seater sofa against the wall, a square rug in the middle in front of the sofa, and two large plants on the floor near the sofa.","eq,1,sofa; eq,1,rug; eq,2,plant","eq,1,sofa,two_seater; eq,1,rug,square; eq,2,plant,large","eq,1,front,0,sofa,rug; eq,2,near,0,sofa,plant","eq,1,against,sofa,wall; eq,1,middle,rug,room",easy,single_room
12,"A living room with a bean bag near a wall cabinet, which is across from the window. There is a stool next to the bean bag.","eq,1,bean_bag; eq,1,wall_cabinet; eq,1,stool",,"eq,1,near,0,wall_cabinet,bean_bag; eq,1,next,0,bean_bag,stool","eq,1,on,wall_cabinet,wall; eq,1,across,wall_cabinet,window",easy,single_room
13,"A living room with a sofa against the wall across from the door, a painting on the wall above the sofa, and a pendant light hanging in the middle of the room.","eq,1,sofa; eq,1,painting; eq,1,pendant_light",,"eq,1,above,0,sofa,painting","eq,1,across,sofa,door; eq,1,against,sofa,wall; eq,1,on,painting,wall; eq,1,hang,pendant_light,ceiling; eq,1,middle,pendant_light,room",easy,single_room
14,A dining room with two bar stools at the short sides of a bar table.,"eq,2,bar_stool; eq,1,bar_table",,"eq,2,short_side,0,bar_table,bar_stool",,easy,single_room
15,A dining room with three dining chairs surrounding a dining table.,"eq,3,dining_chair; eq,1,dining_table",,"eq,1,surround,0,dining_table,dining_chair:0,dining_chair:1,dining_chair:2",,easy,single_room
16,"A small dining room with a dining table next to a window, a chair on the long side of the table, and a rug in the middle of the room.","eq,1,dining_table; eq,1,chair; eq,1,rug",,"eq,1,long_side,0,dining_table,chair","eq,1,next,dining_table,window; eq,1,middle,rug,room",easy,single_room
